Date,Temperature_C,pH,Dissolved_Oxygen_mgL,Conductivity_uS_cm,Turbidity_NTU,TDS_mgL,Ammonia_mgL,Nitrates_mgL,Phosphates_mgL
2016-09-09,29.6,7.6,8.7,399.7,5.3,262.9,0.07,2.69,0.08
2016-09-12,29.5,7.4,8.6,506.7,5.5,314.2,0.17,0.79,0.04
2016-09-15,30.3,7.1,8.3,384.0,3.2,258.0,0.08,0.97,0.06
2016-09-18,29.4,7.5,8.5,509.1,3.6,339.4,0.31,2.37,0.13
2016-09-21,28.4,7.6,8.5,438.0,2.9,273.6,0.06,1.46,0.03
2016-09-24,28.8,7.6,8.6,523.9,8.3,316.3,0.09,1.89,0.03
2016-09-27,28.1,7.7,8.3,478.4,9.4,299.8,0.06,0.74,0.04
2016-09-30,28.4,7.3,8.7,450.1,5.1,287.6,0.17,1.76,0.04
2016-10-03,26.7,7.6,8.9,435.8,8.3,285.9,0.27,0.76,0.03
2016-10-06,26.6,7.7,8.9,430.2,8.7,275.4,0.15,4.0,0.08
2016-10-09,26.1,7.2,9.4,468.0,2.7,299.6,0.33,1.32,0.03
2016-10-12,24.9,7.5,10.1,458.9,18.9,297.5,0.06,1.69,0.15
2016-10-15,25.9,7.4,9.7,406.7,10.6,267.4,0.06,0.63,0.03
2016-10-18,25.5,7.5,9.1,443.9,3.1,299.7,0.23,0.79,0.03
2016-10-21,25.0,7.6,9.4,459.4,3.0,300.8,0.24,0.65,0.04
2016-10-24,24.4,7.4,10.1,350.4,2.7,227.0,0.23,0.99,0.09
2016-10-27,23.1,7.4,9.9,453.5,2.7,312.0,0.21,0.83,0.05
2016-10-30,23.6,7.5,10.0,393.4,8.9,261.6,0.09,1.82,0.11
2016-11-02,23.3,7.3,10.3,383.6,5.2,252.2,0.07,0.62,0.1
2016-11-05,22.6,7.3,10.0,366.6,9.6,238.7,0.31,1.89,0.15
2016-11-08,22.8,7.6,10.3,365.1,8.9,224.3,0.09,0.55,0.09
2016-11-11,23.0,7.3,9.8,397.2,6.6,279.0,0.1,0.73,0.02
2016-11-14,23.9,7.6,9.8,409.6,7.8,259.4,0.17,2.07,0.11
2016-11-17,22.2,7.6,10.5,542.7,2.1,348.7,0.08,1.86,0.16
2016-11-20,22.0,7.2,10.0,435.2,3.9,268.9,0.22,1.15,0.27
2016-11-23,21.5,7.4,10.7,461.9,7.1,298.8,0.06,0.55,0.03
2016-11-26,20.0,7.7,11.0,482.7,2.0,331.9,0.21,1.44,0.07
2016-11-29,21.1,7.4,10.9,459.4,2.2,321.3,0.14,1.02,0.03
2016-12-02,21.0,7.4,10.8,434.6,11.5,290.1,0.14,0.88,0.04
2016-12-05,22.7,7.6,10.7,376.9,7.8,245.7,0.11,1.52,0.09
2016-12-08,20.4,7.6,10.9,507.0,3.5,318.0,0.08,1.07,0.21
2016-12-11,20.7,7.5,10.7,547.0,7.8,339.5,0.11,0.6,0.07
2016-12-14,20.3,7.4,11.0,377.8,9.9,259.0,0.11,2.98,0.12
2016-12-17,20.0,7.7,11.0,417.3,3.8,271.3,0.14,2.01,0.02
2016-12-20,21.1,7.8,10.7,444.4,2.2,280.7,0.08,0.56,0.02
2016-12-23,20.7,7.6,10.8,413.4,15.5,277.7,0.06,1.24,0.07
2016-12-26,20.7,7.5,10.6,469.5,4.1,298.0,0.07,0.59,0.04
2016-12-29,20.0,7.4,10.8,402.0,2.6,258.0,0.17,2.32,0.13
2017-01-01,21.1,7.4,10.3,566.8,91.8,364.4,0.05,1.45,0.04
2017-01-04,20.0,7.6,11.0,513.7,9.3,340.3,0.24,0.69,0.05
2017-01-07,20.5,7.6,10.5,461.7,3.3,294.0,0.17,0.52,0.06
2017-01-10,21.9,7.7,10.3,505.2,3.6,322.7,0.2,0.53,0.04
2017-01-13,20.0,7.6,10.8,508.5,3.4,327.0,0.23,1.21,0.14
2017-01-16,20.0,7.3,11.0,434.6,25.9,288.3,0.06,1.83,0.05
2017-01-19,20.5,7.7,10.8,422.1,3.1,269.3,0.22,0.63,0.05
2017-01-22,20.1,7.4,11.0,459.3,6.3,314.7,0.12,0.75,0.11
2017-01-25,20.0,7.4,10.8,501.5,15.0,318.3,0.27,0.9,0.04
2017-01-28,20.9,7.5,10.8,462.1,2.8,295.4,0.27,0.75,0.11
2017-01-31,20.2,7.8,10.7,366.5,19.7,239.2,0.05,1.0,0.03
2017-02-03,21.6,8.0,11.0,417.4,16.7,278.6,0.1,1.32,0.03
2017-02-06,20.7,7.6,10.5,432.4,12.8,282.6,0.12,1.65,0.17
2017-02-09,22.9,7.5,10.3,456.8,3.2,301.5,0.16,3.82,0.11
2017-02-12,21.3,7.6,10.8,536.7,7.0,356.8,0.08,3.17,0.04
2017-02-15,21.9,7.6,10.6,383.6,9.2,256.3,0.08,1.34,0.07
2017-02-18,23.1,7.5,10.1,466.8,23.4,303.3,0.1,1.82,0.16
2017-02-21,21.8,7.8,10.5,530.0,3.0,343.0,0.12,3.51,0.03
2017-02-24,23.3,7.5,10.1,563.2,9.3,359.7,0.35,0.59,0.02
2017-02-27,24.5,7.6,9.8,413.8,4.1,272.3,0.19,0.51,0.06
2017-03-02,22.5,7.6,10.6,478.8,3.0,307.4,0.11,0.53,0.03
2017-03-05,24.2,7.6,10.5,472.7,4.7,305.2,0.06,1.33,0.03
2017-03-08,24.6,7.6,9.6,468.6,9.9,299.6,0.07,1.94,0.13
2017-03-11,25.4,7.4,9.1,445.1,5.1,268.7,0.11,0.96,0.02
2017-03-14,24.2,7.4,9.9,475.8,5.9,307.2,0.22,1.29,0.1
2017-03-17,24.5,7.3,10.6,313.8,28.7,191.7,0.1,1.23,0.06
2017-03-20,26.3,7.6,9.1,478.2,4.5,294.3,0.13,0.6,0.06
2017-03-23,26.5,7.6,9.8,451.7,6.8,289.1,0.27,0.89,0.08
2017-03-26,26.9,7.6,9.7,447.4,4.3,301.6,0.3,0.52,0.05
2017-03-29,27.3,7.8,8.9,569.1,4.5,380.5,0.07,0.62,0.03
2017-04-01,26.9,7.5,9.3,408.2,7.9,280.7,0.05,2.17,0.03
2017-04-04,28.0,7.6,9.4,440.6,15.9,293.4,0.09,2.27,0.09
2017-04-07,28.4,7.3,8.6,527.9,5.9,356.7,0.17,2.12,0.03
2017-04-10,28.0,7.4,8.8,396.5,9.3,248.6,0.35,1.8,0.02
2017-04-13,30.5,7.6,8.0,412.9,2.5,264.9,0.06,2.08,0.21
2017-04-16,29.7,7.6,8.1,429.1,3.2,256.0,0.05,1.61,0.22
2017-04-19,28.8,7.5,8.5,476.2,5.5,325.5,0.27,1.61,0.04
2017-04-22,30.6,7.5,7.8,464.5,2.1,320.1,0.19,1.6,0.02
2017-04-25,29.7,7.3,8.4,383.2,3.5,245.0,0.5,1.22,0.08
2017-04-28,31.4,7.4,7.7,427.2,5.6,271.0,0.1,0.95,0.11
2017-05-01,32.1,7.6,7.9,426.5,2.1,267.6,0.1,1.81,0.03
2017-05-04,30.8,7.6,7.6,448.8,3.5,292.4,0.07,0.85,0.03
2017-05-07,32.6,7.6,7.7,477.9,5.6,319.8,0.06,1.28,0.11
2017-05-10,32.4,7.5,7.9,470.2,6.3,290.6,0.14,1.07,0.15
2017-05-13,33.1,7.5,7.0,349.3,63.7,233.5,0.1,0.82,0.1
2017-05-16,34.2,7.4,7.3,513.8,7.2,330.9,0.06,4.0,0.03
2017-05-19,32.8,7.6,8.0,456.7,4.7,298.0,0.27,0.8,0.05
2017-05-22,32.6,7.6,7.3,509.9,15.3,336.8,0.07,0.87,0.07
2017-05-25,32.8,7.6,8.1,470.4,9.7,301.4,0.19,0.68,0.03
2017-05-28,33.0,7.4,7.6,495.9,3.1,316.7,0.08,2.23,0.03
2017-05-31,33.8,7.2,7.1,469.2,2.7,294.2,0.22,1.38,0.04
2017-06-03,34.4,7.7,7.2,520.8,7.6,345.1,0.06,1.45,0.06
2017-06-06,34.5,7.4,7.3,479.6,6.1,318.1,0.19,2.22,0.06
2017-06-09,35.0,7.4,7.0,436.1,9.8,281.9,0.06,0.92,0.1
2017-06-12,34.6,7.6,7.3,558.7,8.7,347.8,0.11,0.72,0.09
2017-06-15,35.0,7.4,7.0,505.2,6.9,326.9,0.18,0.72,0.14
2017-06-18,34.6,7.7,7.2,483.7,23.5,325.7,0.07,1.82,0.11
2017-06-21,35.0,7.6,7.0,406.9,5.8,259.4,0.08,1.45,0.03
2017-06-24,35.0,7.6,7.0,397.4,2.6,268.5,0.25,0.73,0.04
2017-06-27,34.3,7.3,7.0,476.1,10.8,331.9,0.27,0.66,0.05
2017-06-30,34.1,7.7,7.0,443.4,3.5,291.8,0.05,0.63,0.02
2017-07-03,35.0,7.5,7.4,426.9,9.5,274.2,0.07,1.49,0.14
2017-07-06,34.8,7.4,7.4,456.5,17.7,298.0,0.06,0.5,0.02
2017-07-09,35.0,7.5,7.2,523.9,8.0,313.1,0.07,0.52,0.04
2017-07-12,35.0,7.2,7.0,486.5,6.5,303.5,0.4,0.99,0.06
2017-07-15,34.8,7.6,7.0,402.4,5.1,251.9,0.13,1.68,0.06
2017-07-18,34.0,7.3,7.6,449.4,4.3,294.4,0.11,1.69,0.07
2017-07-21,33.4,7.3,7.5,401.0,4.2,253.6,0.47,1.06,0.06
2017-07-24,34.1,7.3,7.9,438.0,7.1,279.9,0.13,1.67,0.03
2017-07-27,35.0,7.7,7.1,422.9,9.0,260.0,0.16,1.24,0.03
2017-07-30,34.3,7.4,7.2,428.3,7.7,277.6,0.09,4.0,0.14
2017-08-02,33.0,7.7,7.5,384.2,3.1,251.9,0.1,0.68,0.04
2017-08-05,33.9,7.4,7.3,441.4,5.4,307.4,0.14,1.42,0.04
2017-08-08,33.8,7.2,7.3,429.6,9.8,285.6,0.06,1.18,0.05
2017-08-11,32.6,7.3,7.9,293.1,146.5,199.6,0.08,0.72,0.03
2017-08-14,33.2,7.7,7.8,572.1,5.8,384.2,0.07,1.89,0.06
2017-08-17,32.8,7.5,7.3,486.2,9.4,298.3,0.05,0.82,0.07
2017-08-20,31.6,7.4,7.5,425.2,7.4,281.8,0.13,0.98,0.1
2017-08-23,32.5,7.5,7.1,454.6,4.6,294.0,0.13,0.97,0.08
2017-08-26,32.3,7.6,7.9,397.3,13.3,264.7,0.1,0.78,0.03
2017-08-29,32.4,7.7,7.4,533.8,2.9,357.3,0.08,1.06,0.05
2017-09-01,32.1,7.7,7.1,544.3,29.0,361.3,0.16,1.14,0.02
2017-09-04,29.8,7.4,8.5,461.9,2.6,295.9,0.06,1.86,0.02
2017-09-07,29.8,7.3,9.1,498.9,2.1,336.7,0.12,1.95,0.05
2017-09-10,30.6,7.4,8.2,472.7,13.0,328.6,0.2,0.67,0.03
2017-09-13,30.2,7.5,8.5,391.6,3.4,234.2,0.07,1.4,0.08
2017-09-16,29.8,7.4,8.4,438.1,8.5,279.3,0.19,2.77,0.08
2017-09-19,32.1,7.4,7.7,446.9,10.3,298.6,0.19,0.62,0.13
2017-09-22,29.1,7.6,8.8,426.5,11.8,279.9,0.06,1.14,0.09
2017-09-25,29.2,7.5,8.5,436.1,25.9,277.4,0.05,1.89,0.02
2017-09-28,28.7,7.5,8.8,435.4,3.7,253.1,0.41,1.45,0.04
2017-10-01,28.0,7.4,9.0,449.6,8.2,313.4,0.07,0.61,0.04
2017-10-04,26.9,7.5,9.0,447.2,2.6,305.9,0.22,1.01,0.04
2017-10-07,27.4,7.4,9.3,403.5,4.6,243.8,0.13,1.21,0.03
2017-10-10,25.7,7.6,9.4,403.4,11.4,258.1,0.08,4.0,0.03
2017-10-13,25.8,7.7,9.2,403.0,4.3,271.2,0.06,0.7,0.06
2017-10-16,25.2,7.2,9.8,489.9,6.5,335.7,0.12,4.0,0.08
2017-10-19,25.3,7.4,9.3,346.9,5.5,234.6,0.1,0.97,0.08
2017-10-22,26.7,7.3,9.2,515.6,61.2,337.4,0.17,0.72,0.05
2017-10-25,23.0,7.4,10.2,513.6,20.0,336.4,0.28,1.03,0.06
2017-10-28,24.7,7.5,10.1,443.4,2.3,301.7,0.21,1.45,0.06
2017-10-31,22.5,7.3,10.5,307.6,6.3,201.7,0.08,0.74,0.08
2017-11-03,23.1,7.4,10.2,446.5,146.8,273.8,0.26,0.84,0.02
2017-11-06,24.0,7.3,10.2,446.9,138.9,281.3,0.23,2.43,0.08
2017-11-09,22.9,7.5,10.6,393.5,2.4,255.9,0.31,4.0,0.06
2017-11-12,21.7,7.5,10.7,421.2,6.1,266.0,0.11,0.88,0.03
2017-11-15,21.7,7.4,10.5,534.6,4.0,357.2,0.2,0.66,0.02
2017-11-18,22.5,7.5,9.9,477.4,2.8,299.3,0.14,2.08,0.03
2017-11-21,21.2,7.4,10.4,396.3,11.5,252.4,0.09,1.42,0.06
2017-11-24,21.7,7.5,10.5,367.9,5.7,234.9,0.5,0.61,0.09
2017-11-27,21.3,7.8,10.5,421.9,15.5,271.8,0.05,3.43,0.04
2017-11-30,20.6,7.7,10.8,457.5,10.2,283.0,0.07,0.58,0.04
2017-12-03,22.6,7.3,10.3,469.1,7.9,304.8,0.27,1.48,0.16
2017-12-06,21.2,7.6,10.8,431.6,2.0,264.3,0.06,1.05,0.03
2017-12-09,20.0,7.6,11.0,477.7,4.8,315.8,0.27,1.31,0.03
2017-12-12,20.6,7.3,11.0,536.9,3.1,358.5,0.18,0.74,0.04
2017-12-15,20.0,7.6,11.0,490.7,14.1,292.3,0.05,1.67,0.09
2017-12-18,20.9,7.7,10.2,455.4,3.0,296.3,0.11,3.71,0.07
2017-12-21,20.0,7.3,10.7,439.0,3.7,309.0,0.19,1.11,0.05
2017-12-24,20.0,7.4,11.0,444.1,5.6,291.5,0.14,1.24,0.19
2017-12-27,20.4,7.7,10.5,519.2,3.5,341.2,0.32,0.77,0.09
2017-12-30,20.7,7.5,11.0,427.8,3.2,303.0,0.25,2.72,0.02
2018-01-02,20.0,7.6,11.0,447.7,6.6,283.3,0.09,4.0,0.09
2018-01-05,20.0,7.6,11.0,441.8,2.5,286.3,0.06,2.04,0.02
2018-01-08,20.0,7.6,10.9,418.8,2.3,275.2,0.34,1.28,0.07
2018-01-11,20.0,7.3,11.0,383.3,4.3,267.8,0.12,3.64,0.03
2018-01-14,21.6,7.7,10.6,471.6,8.4,299.3,0.06,0.67,0.08
2018-01-17,20.6,7.7,10.7,425.2,6.0,274.2,0.22,1.15,0.04
2018-01-20,20.0,7.5,10.8,474.9,4.7,310.3,0.25,1.27,0.12
2018-01-23,21.3,7.5,10.6,424.9,6.2,274.7,0.15,1.18,0.04
2018-01-26,22.4,7.3,10.2,508.3,4.3,328.4,0.11,2.12,0.07
2018-01-29,21.7,7.6,10.6,419.1,15.8,269.7,0.16,1.61,0.04
2018-02-01,20.0,7.6,11.0,539.8,2.3,344.6,0.17,0.64,0.14
2018-02-04,20.9,7.5,10.8,375.7,7.6,233.2,0.27,0.93,0.1
2018-02-07,22.5,7.7,10.5,469.6,13.1,305.9,0.36,0.91,0.03
2018-02-10,21.2,7.4,11.0,483.1,10.1,303.4,0.12,1.33,0.17
2018-02-13,22.4,7.6,10.7,426.6,3.0,261.0,0.21,0.84,0.04
2018-02-16,22.9,7.3,9.8,484.3,3.8,317.3,0.38,0.62,0.07
2018-02-19,21.8,7.5,9.7,503.1,8.3,332.0,0.07,1.56,0.09
2018-02-22,22.8,7.5,10.5,336.6,2.4,208.7,0.05,2.4,0.02
2018-02-25,20.6,7.5,10.4,471.7,10.4,313.8,0.25,3.18,0.18
2018-02-28,22.7,7.4,10.2,330.2,8.3,206.9,0.07,4.0,0.04
2018-03-03,23.6,7.5,9.7,408.6,8.5,285.6,0.05,2.02,0.03
2018-03-06,23.2,7.6,9.6,523.1,2.5,345.5,0.07,0.65,0.12
2018-03-09,25.8,7.4,9.6,421.6,8.3,271.0,0.1,2.42,0.08
2018-03-12,23.7,7.3,10.2,371.1,50.4,234.4,0.07,1.01,0.02
2018-03-15,24.9,7.8,9.5,454.5,10.9,297.9,0.09,1.81,0.03
2018-03-18,25.7,7.7,8.7,548.3,2.2,361.0,0.42,1.26,0.08
2018-03-21,27.1,7.3,8.9,359.0,2.1,238.0,0.17,2.26,0.02
2018-03-24,25.2,7.6,9.7,394.3,4.3,248.9,0.17,1.05,0.14
2018-03-27,27.7,7.4,8.5,536.3,2.8,343.7,0.06,0.56,0.09
2018-03-30,27.1,7.5,9.1,514.5,6.1,331.7,0.18,1.31,0.04
2018-04-02,26.7,7.5,9.2,444.7,14.5,285.5,0.18,0.69,0.04
2018-04-05,28.3,7.5,9.0,387.0,4.5,233.1,0.16,3.87,0.06
2018-04-08,28.5,7.4,8.8,550.3,11.3,372.8,0.08,1.25,0.04
2018-04-11,28.2,7.4,8.5,547.0,2.0,355.8,0.1,1.31,0.1
2018-04-14,29.1,7.4,8.9,475.1,2.9,300.4,0.24,2.88,0.2
2018-04-17,29.1,7.4,8.5,417.1,2.2,293.9,0.16,1.48,0.06
2018-04-20,29.9,7.5,8.4,451.1,4.0,301.7,0.18,0.86,0.05
2018-04-23,30.7,7.4,7.9,454.6,101.4,293.9,0.14,0.85,0.03
2018-04-26,31.8,7.6,7.7,459.9,2.5,305.4,0.11,1.2,0.07
2018-04-29,29.9,7.7,8.1,515.2,6.7,345.1,0.19,2.51,0.08
2018-05-02,32.9,7.4,7.5,504.9,5.0,327.4,0.06,2.08,0.08
2018-05-05,30.0,7.5,8.8,400.4,15.9,252.3,0.16,3.79,0.02
2018-05-08,31.8,7.6,7.5,503.4,2.7,320.0,0.5,0.57,0.13
2018-05-11,32.7,7.6,7.1,460.3,3.2,305.1,0.2,0.81,0.04
2018-05-14,32.7,7.5,8.1,488.2,2.1,318.4,0.08,0.58,0.09
2018-05-17,32.3,7.6,7.7,531.7,4.8,324.7,0.08,1.89,0.09
2018-05-20,32.9,7.6,7.4,387.6,3.6,244.0,0.16,0.65,0.07
2018-05-23,32.9,7.3,7.9,419.1,12.2,290.3,0.28,0.61,0.05
2018-05-26,33.1,7.6,7.3,428.7,6.6,270.2,0.14,1.32,0.07
2018-05-29,34.4,7.6,7.7,359.4,6.8,222.7,0.12,1.03,0.02
2018-06-01,34.2,7.4,7.4,447.2,5.8,288.9,0.07,1.76,0.09
2018-06-04,33.6,7.5,7.2,547.3,2.5,335.3,0.18,1.17,0.03
2018-06-07,35.0,7.6,7.6,366.1,4.9,217.6,0.17,1.05,0.05
2018-06-10,34.7,7.5,7.0,449.7,40.1,279.7,0.39,1.05,0.03
2018-06-13,35.0,7.7,7.2,479.8,11.0,306.0,0.09,2.55,0.11
2018-06-16,35.0,7.9,7.1,470.0,13.2,305.9,0.19,1.0,0.06
2018-06-19,34.1,7.4,7.6,450.7,10.7,281.8,0.11,0.91,0.08
2018-06-22,34.4,7.3,7.6,401.2,2.5,253.7,0.13,0.91,0.08
2018-06-25,35.0,7.5,7.0,447.7,3.3,300.2,0.22,0.72,0.11
2018-06-28,35.0,7.6,7.0,411.8,2.0,263.4,0.08,2.47,0.03
2018-07-01,35.0,7.5,7.1,324.3,3.8,217.1,0.09,0.66,0.07
2018-07-04,35.0,7.7,7.0,507.4,2.6,336.1,0.2,2.89,0.06
2018-07-07,35.0,7.3,7.6,495.4,5.2,323.4,0.13,0.83,0.02
2018-07-10,34.5,7.6,7.2,458.8,7.7,314.0,0.06,2.8,0.03
2018-07-13,35.0,7.4,7.0,461.9,12.4,298.2,0.11,2.06,0.04
2018-07-16,34.6,7.8,7.2,509.9,8.9,329.5,0.14,1.37,0.02
2018-07-19,34.5,7.8,7.0,468.3,16.0,300.1,0.29,1.61,0.04
2018-07-22,35.0,7.4,7.0,516.8,2.3,325.6,0.07,0.89,0.02
2018-07-25,35.0,7.4,7.4,432.0,2.1,280.1,0.21,1.35,0.06
2018-07-28,34.9,7.6,7.0,506.2,7.4,312.0,0.06,0.85,0.03
2018-07-31,35.0,7.4,7.0,468.5,3.7,290.2,0.08,1.01,0.04
2018-08-03,33.9,7.5,7.4,451.7,3.5,293.2,0.08,1.95,0.14
2018-08-06,34.2,7.5,7.6,401.3,4.0,252.0,0.26,0.78,0.05
2018-08-09,33.2,7.2,7.7,461.5,3.6,302.4,0.07,2.33,0.04
2018-08-12,33.5,7.5,7.7,402.7,5.6,263.6,0.2,0.97,0.07
2018-08-15,32.9,7.4,7.3,413.4,4.9,254.7,0.11,1.26,0.03
2018-08-18,32.8,7.4,7.2,416.4,5.6,274.9,0.5,3.35,0.02
